年份,领域大类,tag,标题,作者,论文链接,项目链接
2022,并行与分布式系统,,State Machine Replication Scalability Made Simple,"Chrysoula Stathakopoulou, IBM Research – Zurich, ETH Zurich; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519579,https://doi.org/10.5281/zenodo.6344032
2022,并行与分布式系统,,Narwhal and Tusk: A DAG-based Mempool and Efficient BFT Consensus,"George Danezis, MystenLabs / University College London; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519594,https://doi.org/10.5281/zenodo.6353717
2022,并行与分布式系统,,DAMYSUS: Streamlined BFT Consensus Leveraging Trusted Components,"Jeremie Decouchant, Delft University of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519568,https://github.com/vrahli/damysus
2022,大数据系统,,Optimizing the Interval-centric Distributed Computing Model for Temporal Graph Algorithms,"Animesh Baranawal, IISc, Bangalore; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519588,https://doi.org/10.5281/zenodo.6337790
2022,并行与分布式系统,,A New Benchmark Harness for Systematic and Robust Evaluation of Streaming State Stores,"Esmail Asyabi, Boston University; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519592,https://doi.org/10.5281/zenodo.6347736
2022,移动与嵌入式系统,,OPEC: Operation-based Security Isolation for Bare-metal Embedded Systems,"Xia Zhou, Zhejiang University; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519573,https://doi.org/10.5281/zenodo.6336200
2022,并行与分布式系统,,LiteReconfig: Cost and Content Aware Reconfiguration of Video Object Detection Systems for Mobile GPUs,"Ran Xu, Purdue University; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519577,https://doi.org/10.5281/zenodo.6345733
2022,文件和存储系统,,Building an Efficient Key-Value Store in a Flexible Address Space,"Chen Chen, University of Illinois at Chicago; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519555,https://doi.org/10.5281/zenodo.6345713
2022,文件和存储系统,,Tebis: Index Shipping for Efficient Replication in LSM Key-Value Stores,"Michalis Vardoulakis, Univ. of Crete and FORTH, Greece; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519572,https://doi.org/10.5281/zenodo.6349594
2022,数据中心系统,,DeepRest: Deep Resource Estimation for Interactive Microservices,"Ka-Ho Chow, Georgia Institute of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519564,https://doi.org/10.5281/zenodo.6335690
2022,数据中心系统,,Unicorn: Reasoning about Configurable System Performance through the lens of Causality,"Md Shahriar Iqbal, University of South Carolina; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519575,https://doi.org/10.5281/zenodo.6360540
2022,机器学习系统,,Nyx-Net: Network Fuzzing with Incremental Snapshots,"Sergej Schumilo, Ruhr University Bochum; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519591,https://github.com/RUB-SysSec/nyx-net
2022,操作系统,,OS Scheduling with Nest: Keeping Tasks Close Together on Warm Cores,"Julia Lawall, Inria; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519585,https://doi.org/10.5281/zenodo.6344960
2022,操作系统,,Kite: Lightweight Critical Service Domains,"A K M Fazla Mehrab, Virginia Tech; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519586,https://doi.org/10.5281/zenodo.6348174;
2022,文件和存储系统,,SafePM: A Sanitizer for Persistent Memory,"Kartal Kaan Bozdoğan, Technical University of Munich; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519574,https://doi.org/10.5281/zenodo.6338745
2022,文件和存储系统,,Characterizing the Performance of Intel Optane Persistent Memory — A Close Look at its On-DIMM Buffering,"Lingfeng Xiang, The University of Texas at Arlington; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519556,https://doi.org/10.5281/zenodo.6342303
2022,系统安全与隐私,,Verified Programs Can Party: Optimizing Kernel Extensions via Post-Verification In-Kernel Merging,"Hsuan-Chi Kuo, University of Illinois at Urbana-Champaign; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519562,https://doi.org/10.5281/zenodo.6336103
2022,系统安全与隐私,,PKRU-Safe: Automatically Locking Down the Heap Between Safe and Unsafe Languages,"Paul Kirth, Univeristy of California, Irvine; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519582,https://doi.org/10.5281/zenodo.6336301
2022,系统安全与隐私,,Sharing is Caring: Secure and Efficient Shared Memory Support for MVEEs,"Jonas Vinck, imec-DistriNet, KU Leuven; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519558,https://doi.org/10.5281/zenodo.6360235
2022,系统安全与隐私,,KASLR in the age of MicroVMs,"Benjamin Holmes, Vassar College; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519578,https://github.com/bencw12/in-monitor-rando-benchmarking
2022,系统安全与隐私,,Hardening Binaries against More Memory Errors,"Gregory J. Duck, National University of Singapore; et al.",https://dl.acm.org/doi/abs/10.1145/3492321.3519580,https://github.com/GJDuck/RedFat
