年份,领域大类,tag,论文标题,作者,论文链接,项目链接
2022,文件和存储系统,,Separating Data via Block Invalidation Time Inference for Write Amplification Reduction in Log-Structured Storage,"Qiuping Wang, The Chinese University of Hong Kong; et al.",https://www.usenix.org/conference/fast22/presentation/wang,http://adslab.cse.cuhk.edu.hk/software/sepbit
2022,文件和存储系统,,FORD: Fast One-sided RDMA-based Distributed Transactions for Disaggregated Persistent Memory,"Ming Zhang, Huazhong University of Science and Technology; et al.",https://www.usenix.org/conference/fast22/presentation/zhang-ming,https://github.com/minghust/ford
2022,文件和存储系统,,Improving the Reliability of Next Generation SSDs using WOM-v Codes,"Shehbaz Jaffer, University of Toronto; et al.",https://www.usenix.org/conference/fast22/presentation/jaffer,https://github.com/uoftsystems/womv/tree/main/linux_wom
2022,文件和存储系统,,ctFS: Replacing File Indexing with Hardware Memory Translation through Contiguous File Allocation for Persistent Memory,"Ruibin Li, University of Toronto; et al.",https://www.usenix.org/conference/fast22/presentation/li,https://github.com/robinlee09201/ctFS
2022,文件和存储系统,,"PAIO: General, Portable I/O Optimizations With Minor Application Modifications","Ricardo Macedo, INESC TEC and University of Minho; et al.",https://www.usenix.org/conference/fast22/presentation/macedo,https://github.com/dsrhaslab/paio
2022,文件和存储系统,,Aurogon: Taming Aborts in All Phases for Distributed In-Memory Transactions,"Tianyang Jiang, Tsinghua University; et al.",https://www.usenix.org/conference/fast22/presentation/jiang,https://github.com/THU-jty/Aurogon
2022,文件和存储系统,,Hydra : Resilient and Highly Available Remote Memory,"Youngmoon Lee, Hanyang University; et al.",https://www.usenix.org/conference/fast22/presentation/lee,https://github.com/SymbioticLab/hydra
2022,文件和存储系统,,TVStore: Automatically Bounding Time Series Storage via Time-Varying Compression,"Yanzhe An, Tsinghua University; et al.",https://www.usenix.org/conference/fast22/presentation/an,https://github.com/thulab/TVStore
2022,文件和存储系统,,A Log-Structured Merge Tree-aware Message Authentication Scheme for Persistent Key-Value Stores,"Igjae Kim, UNIST, KAIST; et al.",https://www.usenix.org/conference/fast22/presentation/kim-igjae,https://github.com/cssl-unist/tweezer
2022,文件和存储系统,,DeepSketch: A New Machine Learning-Based Reference Search Technique for Post-Deduplication Delta Compression,"Jisung Park, ETH Zürich; et al.",https://www.usenix.org/conference/fast22/presentation/park,https://github.com/dgist-datalab/deepsketch-fast2022
2022,文件和存储系统,,DEPART: Replica Decoupling for Distributed Key-Value Storage,"Qiang Zhang, University of Science and Technology of China; et al.",https://www.usenix.org/conference/fast22/presentation/zhang-qiang,https://github.com/ustcadsl/depart
2022,文件和存储系统,,ScaleXFS: Getting scalability of XFS back on the ring,"Dohyun Kim, KAIST; et al.",https://www.usenix.org/conference/fast22/presentation/kim-dohyun,https://github.com/ESOS-Lab/ScaleXFS
2022,文件和存储系统,,FusionFS: Fusing I/O Operations using CISCOps in Firmware File Systems,"Jian Zhang, Rutgers University; et al.",https://www.usenix.org/conference/fast22/presentation/zhang-jian,https://github.com/RutgersCSSystems/FusionFS
2022,文件和存储系统,,"The what, The from, and The to: The Migration Games in Deduplicated Systems","Roei Kisous, Technion - Israel Institute of Technology; et al.",https://www.usenix.org/conference/fast22/presentation/kisous,https://github.com/roei217/DedupMigration. 
2022,文件和存储系统,,"	CacheSifter: Sifting Cache Files for Boosted Mobile Performance and Lifetime","Yu Liang, City University of Hong Kong; et al.",https://www.usenix.org/conference/fast22/presentation/liang,https://github.com/MIoTLab/CacheSifter
2022,文件和存储系统,,"	DedupSearch: Two-Phase Deduplication Aware Keyword Search","Nadav Elias, Technion - Israel Institute of Technology; et al.",https://www.usenix.org/conference/fast22/presentation/elias,https://github.com/NadavElias/DedupSearch
2022,文件和存储系统,,"	Removing Double-Logging with Passive Data Persistence in LSM-tree based Relational Databases","Kecheng Huang, Shandong University; et al.",https://www.usenix.org/conference/fast22/presentation/huang,https://github.com/ericaloha/MyRocks-PASV
2021,数据库系统,," SpanDB: A Fast, Cost-Effective LSM-tree Based KV Store on Hybrid Storage","Hao Chen, University of Science and Technology of China; et al.",https://www.usenix.org/conference/fast21/presentation/chen-hao,https://github.com/SpanDB/SpanDB
2021,文件和存储系统,,"	ROART: Range-query Optimized Persistent ART","Shaonan Ma, Tsinghua University; et al.",https://www.usenix.org/conference/fast21/presentation/ma,https://github.com/madsys-dev/ROART
2021,文件和存储系统,,"	REMIX: Efficient Range Query for LSM-trees","Wenshao Zhong, University of Illinois at Chicago; et al.",https://www.usenix.org/conference/fast21/presentation/zhong,https://github.com/wuxb45/remixdb
2021,文件和存储系统,, pFSCK: Accelerating File System Checking and Repair for Modern Storage,"David Domingo, Rutgers University; et al.",https://www.usenix.org/conference/fast21/presentation/domingo,https://github.com/RutgersCSSystems/pFSCK
2021,文件和存储系统,,"	An In-Depth Study of Correlated Failures in Production SSD-Based Data Centers","Shujie Han, The Chinese University of Hong Kong; et al.",https://www.usenix.org/conference/fast21/presentation/han,http://adslab.cse.cuhk.edu.hk/software/ssdanalysis
2021,文件和存储系统,,"	CheckFreq: Frequent, Fine-Grained DNN Checkpointing","Jayashree Mohan, UT Austin; et al.",https://www.usenix.org/conference/fast21/presentation/mohan,https://github.com/msr-fiddle/CheckFreq
2021,文件和存储系统,,The Storage Hierarchy is Not a Hierarchy: Optimizing Caching on Modern Storage Devices with Orthus,"Kan Wu, University of Wisconsin–Madison; et al.",https://www.usenix.org/conference/fast21/presentation/wu-kan,https://github.com/josehu07/nhc-demo
2021,文件和存储系统,, A Community Cache with Complete Information,"Mania Abdi, Northeastern University; et al.",https://www.usenix.org/conference/fast21/presentation/abdi,http://github.com/maniaabdi/Kariz
2021,文件和存储系统,, Exploiting Combined Locality for Wide-Stripe Erasure Coding in Distributed Storage,"Yuchong Hu, Huazhong University of Science & Technology; et al.",https://www.usenix.org/conference/fast21/presentation/hu,https://github.com/yuchonghu/ecwide
2021,文件和存储系统,,"	High Velocity Kernel File Systems with Bento","Samantha Miller, University of Washington; et al.",https://www.usenix.org/conference/fast21/presentation/miller, https://gitlab.cs.washington.edu/sm237/bento
2021,文件和存储系统,,"	The Dilemma between Deduplication and Locality: Can Both be Achieved?","Xiangyu Zou, Harbin Institute of Technology, Shenzhen; et al.",https://www.usenix.org/conference/fast21/presentation/zou,https://github.com/Borelset/MFDedup
2021,文件和存储系统,,"	CNSBench: A Cloud Native Storage Benchmark","Alex Merenstein, Stony Brook University; et al.",https://www.usenix.org/conference/fast21/presentation/merenstein,https://github.com/CNSBench/CNSBench
