年份,研究领域,tag,研究领域,论文标题,作者,论文链接,项目名,项目链接
2021,操作系统,,操作系统,NrOS: Effective Replication and Sharing in an Operating System,"Ankit Bhardwaj, University of Utah; et al.",https://www.usenix.org/conference/osdi21/presentation/bhardwaj,NrOS,https://nrkernel.systems/book/benchmarking/ArtifactEvaluation.html
2021,机器学习系统,,GNN,GNNAdvisor: An Adaptive and Efficient Runtime System for GNN Acceleration on GPUs,"Yuke Wang, University of California, Santa Barbara; et al.",https://www.usenix.org/conference/osdi21/presentation/wang-yuke,GNNAdvisor,https://github.com/YukeWang96/OSDI21_AE.git
2021,机器学习系统,,机器学习,Oort: Efficient Federated Learning via Guided Participant Selection,"Fan Lai, University of Michigan; et al.",https://www.usenix.org/conference/osdi21/presentation/lai,Oort,https://github.com/SymbioticLab/Kuiper
2021,机器学习系统,,机器学习,PET: Optimizing Tensor Programs with Partially Equivalent Transformations and Automated Corrections,"Haojie Wang, Tsinghua University; et al.",https://www.usenix.org/conference/osdi21/presentation/wang,PET,https://github.com/whjthu/pet-osdi21-ae
2021,机器学习系统,,机器学习,Pollux: Co-adaptive Cluster Scheduling for Goodput-Optimized Deep Learning,"Aurick Qiao, Petuum, Inc. and Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi21/presentation/qiao,Pollux,https://github.com/aurickq/pollux-artifact
2021,软件测试,,找Bug,DMon: Efficient Detection and Correction of Data Locality Problems using Selective Profiling,"Tanvir Ahmed Khan, University of Michigan; et al.",https://www.usenix.org/conference/osdi21/presentation/khan,DMon,https://github.com/efeslab/DMon-AE
2021,数据库系统,,数据库,Polyjuice: High-Performance Transactions via Learned Concurrency Control,"Jiachen Wang, Shanghai Jiao Tong University; et al.",https://www.usenix.org/conference/osdi21/presentation/wang-jiachen,Polyjuice,https://ipads.se.sjtu.edu.cn/ae/README_polyjuice.html
2021,数据库系统,,数据库,Retrofitting High Availability Mechanism to Tame Hybrid Transaction/Analytical Processing,"Sijie Shen, Shanghai Jiao Tong University; et al.",https://www.usenix.org/conference/osdi21/presentation/shen,Vegito,https://ipads.se.sjtu.edu.cn:1312/opensource/vegito
2021,数据库系统,,图计算,Marius: Learning Massive Graph Embeddings on a Single Machine,"Jason Mohoney, University of Wisconsin–Madison; et al.",https://www.usenix.org/conference/osdi21/presentation/mohoney,Marius,https://github.com/marius-team/marius/tree/osdi2021
2021,数据中心系统,,机器学习,"Dorylus: Affordable, Scalable, and Accurate GNN Training with Distributed CPU Servers and Serverless Threads","John Thorpe, UCLA; et al.",https://www.usenix.org/conference/osdi21/presentation/thorpe,Dorylus,https://github.com/uclasystem/dorylus
2021,网络系统,,Web,STORM: Refinement Types for Secure Web Applications,"Nico Lehmann, UC San Diego; et al.",https://www.usenix.org/conference/osdi21/presentation/lehmann,STORM,https://github.com/storm-framework/artifact
