年份,领域大类,tag,研究领域,论文标题,作者,论文链接,项目名,项目链接
2022,"数据库系统,形式化验证","SQL优化,数据库事务",Query Processing and Optimization,WeTune: Automatic Discovery and Verification of Query Rewrite Rules,"Zhaoguo Wang, Shanghai Jiao Tong University & Ministry of Education of the People's Republic of China; et al.",https://dl.acm.org/doi/10.1145/3514221.3526125#pill-authors__contentcon,WeTune,https://ipads.se.sjtu.edu.cn:1312/opensource/wetune
2021,数据库系统,,Data and Graph Mining,Boosting Graph Similarity Search through Pre-Computation,"Jongik Kim, Jeonbuk National University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452780,Nass,https://github.com/JongikKim/Nass
2021,大数据系统,,Data and Graph Mining,Accelerating Triangle Counting on GPU,"Lin Hu, Peking University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452815,accelerating-TC,https://github.com/pkumod/accelerating-TC
2021,大数据系统,,Data and Graph Mining,"Graphsurge: Graph Analytics on View Collections Using
Differential Computation","Siddhartha Sahu, University of Waterloo; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452837,graphsurge,https://github.com/dsg-uwaterloo/graphsurge
2021,大数据系统,,Data and Graph Mining,"Unifying the Global and Local Approaches:
An Efficient Power Iteration with Forward Push","Hao Wu, The University of Melbourne; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457298,Personalized-PageRank,https://github.com/wuhao-wu-jiang/Personalized-PageRank
2021,大数据系统,,Data and Graph Mining,"PathEnum: Towards Real-Time Hop-Constrained s-t Path
Enumeration","Shixuan Sun, National University of Singapore; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457290,PathEnum,https://github.com/Xtra-Computing/PathEnum
2021,数据库系统,,Data Curation and Integration,Auto-FuzzyJoin: Auto-Program Fuzzy Similarity Joins Without Labeled Examples,"Peng Li, Georgia Institute of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452824,AutomaticFuzzyJoin,https://github.com/chu-data-lab/AutomaticFuzzyJoin
2021,数据库系统,,Data Curation and Integration,BullFrog: Online Schema Evolution via Lazy Evaluation,"Souvik Bhattacherjee, ServiceNow & University of Maryland; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452842,BullFrog,https://github.com/DSLAM-UMD/BullFrog
2021,大数据系统,,Data for Data Science,LIMA: Fine-grained Lineage Tracing and Reuse in Machine Learning Systems,"Arnab Phani, Graz University of Technology; et al.",https://dl.acm.org/doi/10.1145/3448016.3452788,systemds,https://github.com/apache/systemds
2021,数据库系统,,Data for Data Science,Conformance Constraint Discovery: Measuring Trust in Data-Driven Systems,"Anna Fariha, Microsoft & University of Massachusetts Amherst; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452795, CCSynth,https://github.com/microsoft/prose/tree/main/misc/CCSynth
2021,数据库系统,,Data for Data Science,Multiple Dynamic Outlier-Detection from a Data Stream by Exploiting Duality of Data and Queries,"Susik Yoon, KAIST; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452810,MDUAL,https://github.com/kaist-dmlab/MDUAL
2021,数据库系统,,Data for Data Science,Why Not Match: On Explanations of Event Pattern Queries,"Shaoxu Song, Tsinghua University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452818,explanation,https://github.com/explanation-event-pattern/explanation
2021,数据库系统,,Data for Data Science,ReStore - Neural Data Completion for Relational Databases,"Benjamin Hilprecht, Technical University of Darmstadt; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457264,restore,https://github.com/DataManagementLab/restore
2021,大数据系统,,Data for Data Science,Looking for Trouble: Analyzing Classifier Behavior via Pattern Divergence,"Eliana Pastor, Politecnico di Torino; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457284,DivExplorer,https://divexplorer.github.io/
