年份,领域大类,tag,论文标题,作者,论文链接,项目链接
2021,并行与分布式系统,,Basil: Breaking up BFT with ACID (transactions),"Florian Suri-Payer, Cornell University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483552,https://github.com/fsuri/SOSP21_artifact_eval
2021,并行与分布式系统,,"BIDL: A High-throughput, Low-latency Permissioned Blockchain Framework for Datacenter Networks","Ji Qi, the University of Hong Kong; et al.",https://dl.acm.org/doi/10.1145/3477132.3483574,https://github.com/hku-systems/bidl
2021,并行与分布式系统,,Kauri: Scalable BFT Consensus with Pipelined Tree-Based Dissemination and Aggregation,"Ray Neiheiser, U. Lisboa & UFSC/DAS; et al.",https://dl.acm.org/doi/10.1145/3477132.3483584,https://github.com/Raycoms/Kauri-Public
2021,软件测试,,iGUARD: In-GPU Advanced Race Detection,"Aditya K. Kamath, Indian Institute of Science; et al.",https://dl.acm.org/doi/10.1145/3477132.3483545,https://github.com/csl-iisc/iGUARD
2021,软件测试,,Snowboard: Finding Kernel Concurrency Bugs through Systematic Inter-thread Communication Analysis,"Sishuai Gong, Purdue University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483549,https://github.com/rssys/snowboard
2021,软件测试,,Rudra: Finding Memory Safety Bugs in Rust at the Ecosystem Scale,"Yechan Bae, Georgia Institute of Technology; et al.",https://dl.acm.org/doi/10.1145/3477132.3483570,https://github.com/sslab-gatech/Rudra-Artifacts
2021,并行与分布式系统,,Witcher: Systematic Crash Consistency Testing for Non-Volatile Memory Key-Value Stores,"Xinwei Fu, Virginia Tech; et al.",https://dl.acm.org/doi/10.1145/3477132.3483556,https://github.com/cosmoss-vt/witcher
2021,并行与分布式系统,,Understanding and Detecting Software Upgrade Failures in Distributed Systems,"Yongle Zhang, Purdue University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483577,https://github.com/zlab-purdue/ds-upgrade
2021,并行与分布式系统,,Crash Consistent Non-Volatile Memory Express,"Xiaojian Liao, Tsinghua University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483577,https://github.com/thustorage/ccnvme
2021,数据库系统,,Regular Sequential Serializability and Regular Sequential Consistency,"Jeffrey Helt, Princeton University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483566,https://github.com/jmhelt/tapir/tree/spanner
2021,数据库系统,,Caracal: Contention Management with Deterministic Concurrency Control,"Dai Qin, University of Toronto; et al.",https://dl.acm.org/doi/10.1145/3477132.3483591,https://github.com/uoft-felis/felis
2021,数据中心系统,,"The Demikernel Library OS Architecture for Microsecond, Kernel-Bypass Datacenter Systems","Irene Zhang, Microsoft Research; et al.",https://dl.acm.org/doi/10.1145/3477132.3483569,https://github.com/demikernel/demikernel
2021,文件和存储系统,,Kangaroo: Caching Billions of Tiny Objects on Flash,"Sara McAllister, Carnegie Mellon University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483568,https://github.com/saramcallister/Kangaroo
2021,文件和存储系统,,IODA: A Host/Device Co-Design for Strong Predictability Contract on Modern Flash Storage,"Huaicheng Li, University of Chicago and Carnegie Mellon University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483573,https://github.com/huaicheng/IODA-SOSP21-AE
2021,文件和存储系统,,FragPicker: A New Defragmentation Tool for Modern Storage Devices,"Jonggyu Park, Sungkyunkwan University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483593,https://github.com/jonggyup/FragPicker
2021,大数据系统,,dSpace: Composable Abstractions for Smart Spaces,"Silvery Fu, UC Berkeley; et al.",https://dl.acm.org/doi/10.1145/3477132.3483559,https://github.com/digi-project/sosp21-artifact
2021,大数据系统,,Random Walks on Huge Graphs at Cache Efficiency,"Ke Yang, Tsinghua University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483575,https://github.com/flashmobwalk/flashmob/tree/sosp21-ae
2021,大数据系统,,Mycelium: Large-Scale Distributed Graph Queries with Differential Privacy,"Edo Roth, University of Pennsylvania; et al.",https://dl.acm.org/doi/10.1145/3477132.3483585,https://github.com/karannewatia/Mycelium
2021,软件测试,,HEALER: Relation Learning Guided Kernel Fuzzing,"Hao Sun, Tsinghua University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483547,https://github.com/SunHao-0/healer
2021,机器学习系统,,Gradient Compression Supercharged High-Performance Data Parallel DNN Training,"Youhui Bai, University of Science and Technology of China; et al.",https://dl.acm.org/doi/10.1145/3477132.3483553,https://gitlab.com/hipress/hipress
2021,大数据系统,,HeMem: Scalable Tiered Memory Management for Big Data Applications and Real NVM,"Amanda Raybuck, the University of Texas at Austin; et al.",https://dl.acm.org/doi/10.1145/3477132.3483550,https://bitbucket.org/ajaustin/hemem/src/sosp-submission/
2021,程序语言与编译器,,J-NVM: Off-heap Persistent Objects in Java,"Anatole Lefort, Télécom SudParis; et al.",https://dl.acm.org/doi/10.1145/3477132.3483579,https://github.com/jnvm-project/jnvm
2021,文件和存储系统,,PACTree: A High Performance Persistent Range Index Using PAC Guidelines,"Wook-Hee Kim, Virginia Tech; et al.",https://dl.acm.org/doi/10.1145/3477132.3483589,https://github.com/cosmoss-vt/pactree
2021,文件和存储系统,,Exploiting Nil-Externality for Fast Replicated Storage,"Aishwarya Ganesan, VMware Research; et al.",https://dl.acm.org/doi/10.1145/3477132.3483543,https://bitbucket.org/aganesan4/skyros/
2021,文件和存储系统,,Geometric Partitioning: Explore the Boundary of Optimal Erasure Code Repair,"Yingdi Shan, Tsinghua University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483558,https://github.com/rcstor/rcstor
2021,并行与分布式系统,,Rabia: Simplifying State-Machine Replication Through Randomization,"Haochen Pan, University of Chicago; et al.",https://dl.acm.org/doi/10.1145/3477132.3483582,https://github.com/haochenpan/rabia/
2021,数据中心系统,,MIND: In-Network Memory Management for Disaggregated Data Centers,"Seung-seob Lee, Yale University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483582,https://github.com/shsym/mind
2021,数据中心系统,,Solving Large-Scale Granular Resource Allocation Problems Efficiently with POP,"Deepak Narayanan, Stanford University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483588,https://github.com/stanford-futuredata/POP
2021,并行与分布式系统,,Forerunner: Constraint-based Speculative Transaction Execution for Ethereum,"Yang Chen, Microsoft Research; et al.",https://dl.acm.org/doi/10.1145/3477132.3483564,https://github.com/microsoft/Forerunner/
2021,数据中心系统,,When Idling is Ideal: Optimizing Tail-Latency for Highly-Dispersed Datacenter Workloads with Perséphone,"Henri Maxime Demoulin, University of Pennsylvania; et al.",https://dl.acm.org/doi/10.1145/3477132.3483571,https://github.com/maxdml/psp
2021,系统安全与隐私,,Snoopy: Surpassing the Scalability Bottleneck of Oblivious Storage,"Emma Dauterman, UC Berkeley; et al.",https://dl.acm.org/doi/10.1145/3477132.3483562,https://github.com/ucbrise/snoopy
2021,系统安全与隐私,,Coeus: A system for oblivious document ranking and retrieval,"Ishtiyaque Ahmad, University of California, Santa Barbara; et al.",https://dl.acm.org/doi/10.1145/3477132.3483586,https://github.com/ishtiyaque/Coeus_artifact
