年份,领域大类,tag,论文标题,作者,论文链接,项目链接
2021,机器学习系统,,"On the Efficiency of K-Means Clustering: Evaluation, Optimization, and Algorithm Selection","Sheng Wang, New York University; et al.",http://vldb.org/pvldb/vol14/p163-wang.pdf,https://github.com/tgbnhy/fast-kmeans
2021,机器学习系统,,Comprehensible Counterfactual Explanation on Kolmogorov-Smirnov Test,"Zicun Cong, Simon Fraser University; et al.",http://vldb.org/pvldb/vol14/p1583-cong.pdf,https://github.com/research0610/MOCHE
2021,机器学习系统,,GeCo: Quality Counterfactual Explanations in Real Time,"Maximilian Schleich, University of Washington; et al.",http://vldb.org/pvldb/vol14/p1681-schleich.pdf,https://github.com/mjschleich/GeCo.jl
2021,机器学习系统,,A Queueing-Theoretic Framework for Vehicle Dispatching in Dynamic Car-Hailing,"Peng Cheng, East China Normal University; et al.",http://vldb.org/pvldb/vol14/p2177-cheng.pdf,https://github.com/inabao/queue-based-order-dispatching
2021,大数据系统,,SetSketch: Filling the Gap between MinHash and HyperLogLog,"Otmar Ertl, Dynatrace Research; et al.",http://vldb.org/pvldb/vol14/p2244-ertl.pdf,https://github.com/dynatrace-research/set-sketch-paper
2021,机器学习系统,,LOCATER: Cleaning WiFi Connectivity Datasets for Semantic Localization,"Yiming Lin, University of California Irvine; et al.",http://vldb.org/pvldb/vol14/p329-lin.pdf,https://github.com/yiminl18/LOCATER
2021,机器学习系统,,CHEF: A Cheap and Fast Pipeline for Iteratively Cleaning Label Uncertainties,"Yinjun Wu, University of Pennsylvania; et al.",http://vldb.org/pvldb/vol14/p2410-wu.pdf,https://github.com/thuwuyinjun/Chef
2021,并行与分布式系统,,GraphMineSuite: Enabling High-Performance and Programmable Graph Mining Algorithms with Set Algebra,"Maciej Besta, ETH Zurich; et al.",http://vldb.org/pvldb/vol14/p1922-besta.pdf,https://graphminesuite.spcl.inf.ethz.ch
2021,并行与分布式系统,,A Comprehensive Survey and Experimental Comparison of Graph-Based Approximate Nearest Neighbor Search,"Mengzhao Wang, Hangzhou Dianzi University; et al.",http://vldb.org/pvldb/vol14/p1964-wang.pdf,https://github.com/Lsyhprum/WEAVESS
2021,并行与分布式系统,,Accelerating Exact Constrained Shortest Paths on GPUs,"Shengliang Lu, National University of Singapore; et al.",http://vldb.org/pvldb/vol14/p547-lu.pdf,https://github.com/xtra-computing/vine
2021,数据库系统,,Achieving High Throughput and Elasticity in a Larger-than-Memory Store,"Chinmay Kulkarni, University of Utah; et al.",http://vldb.org/pvldb/vol14/p1427-kulkarni.pdf,https://aka.ms/Shadowfax
2021,数据库系统,,PATSQL: Efficient Synthesis of SQL Queries from Example Tables with Quick Inference of Projected Columns,"Keita Takenouchi, NTT DATA; et al.",http://vldb.org/pvldb/vol14/p1937-takenouchi.pdf,https://github.com/NAIST-SE/PATSQL
2021,数据库系统,,Rumble: Data Independence for Large Messy Data Sets,"Ingo Müller, ETH Zürich; et al.",http://vldb.org/pvldb/vol14/p498-muller.pdf,https://github.com/RumbleDB/experiments-vldb21
2021,数据库系统,,Towards an Efficient Weighted Random Walk Domination,"Songsong Mo, Wuhan University; et al.",http://vldb.org/pvldb/vol14/p560-mo.pdf,https://github.com/songsong945/RandomWalkDomination
2021,数据库系统,,Adaptive Data Augmentation for Supervised Learning over Missing Data,"Tongyu Liu, Renmin University of China; et al.",http://vldb.org/pvldb/vol14/p1202-fan.pdf,https://github.com/ruc-datalab/dagan
