年份,领域大类,关键词,论文标题,作者,论文链接,项目链接
2020,系统安全与隐私,"并发安全,神经网络,模糊计算",Defensive Approximation: Securing CNNs using Approximate Computing,Amira Guesmi，University of Sfax；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446747,https://github.com/AG-X09/Defensive-Approximation
2022,机器学习系统,"GPU,并发安全,机器学习",GPUReplay: a 50-KB GPU stack for client ML,"Heejin Park,Purdue University;el al.",https://dl.acm.org/doi/10.1145/3503222.3507754,https://github.com/bakhi/gpureplay
2022,计算机体系结构,"编译,量子计算,模糊计算",Orchestrated Trios: Compiling for Efficient Communication in Quantum Programs with 3-Qubit Gates,"Casey Duckering, University of Chicago；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446718,https://github.com/cduck/orchestrated-trios
2022,文件和存储系统,"单层存储,文件系统,内存数据库",GenStore: a high-performance in-storage processing system for genome sequence analysis,"Nika, Mansouri-GhiasiETH Zurich;el al.",https://dl.acm.org/doi/10.1145/3503222.3507702,https://github.com/cmu-safari/genstore
2022,程序语言与编译器,"编译,程序分析,硬件卸载",A Compiler Infrastructure for Accelerator Generators,Samuel Thomas，Cornell University；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446712,https://github.com/cucapra/calyx
2022,数据中心系统,"Serverless,数据库事务,物联网","Benchmarking, Analysis, and Optimization of Serverless Function Snapshots","Dmitrii Ustiugov, University of Edinburgh；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446714,https://github.com/ease-lab/vhive
2022,软件测试,"模糊测试,硬件卸载,FPGA",Debugging in the brave new world of reconfigurable hardware,"Jiacheng Ma,University of Michigan;el al.",https://dl.acm.org/doi/10.1145/3503222.3507701,https://github.com/efeslab/asplos22-hardware-debugging-artifact
2022,文件和存储系统,"内存数据库,程序分析,非易失性内存",HIPPOCRATES: Healing Persistent Memory Bugs Without Doing Any Harm,"Ian Neal, University of Michigan；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446694,https://github.com/efeslab/hippocrates
2022,机器学习系统,"神经网络,机器学习,AlForSys",Analytical characterization and design space exploration for optimization of CNNs,"Rui Li, University of Utah；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446759,https://github.com/HPCRL/ASPLOS_artifact
2022,软件测试,"模糊测试,程序分析,安全存储",Revizor: testing black-box CPUs against speculation contracts,"Oleksii Oleksenko,TU Dresden;el al.",https://dl.acm.org/doi/10.1145/3503222.3507729,https://github.com/hw-sw-contracts/revizor
2022,程序语言与编译器,"机器学习,编译,时延优化",Neural Architecture Search as Program Transformation Exploration,"Jack Turner, University of Edinburgh；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446753,https://github.com/jack-willturner/nas-as-program-transformation-exploration
