年份,领域大类,关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2021,并行与分布式系统,"区块链,数据管理,存储系统",RainBlock: Faster Transaction Processing in Public Blockchains,"Soujanya Ponnapalli, University of Texas at Austin",https://www.usenix.org/system/files/atc21-ponnapalli.pdf,https://github.com/RainBlock
2021,并行与分布式系统,"区块链,数据库事务",An Off-The-Chain Execution Environment for Scalable Testing and Profiling of Smart Contracts,"Yeonsoo Kim, Yonsei University",https://www.usenix.org/system/files/atc21-kim-yeonsoo.pdf,https://github.com/verovm/usenix-atc21
2021,文件和存储系统,"文件系统,多核,日志",Z-Journal: Scalable Per-Core Journaling,"Jongseok Kim, Sungkyunkwan University, Republic of Korea",https://www.usenix.org/system/files/atc21-kim-jongseok.pdf,https://github.com/J-S-Kim/journal
2021,操作系统,"NVRAM,NUMA,内存管理",Exploring the Design Space of Page Management for Multi-Tiered Memory Systems,"Jonghyeon Kim, Ajou University",https://www.usenix.org/system/files/atc21-kim-jonghyeon.pdf,https://github.com/csl-ajou/AutoTiering
2020,操作系统,"程序优化,Rust,时延优化",Lightweight Preemptible Functions,"Sol Boucher, Carnegie Mellon University",https://www.usenix.org/system/files/atc20-boucher.pdf,https://efficient.github.io/#lpf
2020,操作系统,"Shell,程序优化,调度策略",POSH: A Data-Aware Shell,"Deepti Raghavan, Stanford University",https://www.usenix.org/system/files/atc20-raghavan.pdf,https://github.com/deeptir18/posh
2020,操作系统,"存储系统,配置优化,性能调优",DupHunter: Flexible High-Performance Deduplication for Docker Registries,"Nannan Zhao, Virginia Tech",https://www.usenix.org/system/files/atc20-zhao.pdf,https://github.com/nnzhaocs/DupHunter
2020,操作系统,"虚拟内存,内存管理,性能调优",A Comprehensive Analysis of Superpage Management Mechanisms and Policies,"Weixi Zhu, Rice University",https://www.usenix.org/system/files/atc20-zhu-weixi_0.pdf,https://github.com/rice-systems/quicksilver
2021,程序语言与编译器,"JVM,RDMA,时延优化",Naos: Serialization-free RDMA networking in Java,"Konstantin Taranov,Department of Computer Science, ETH Zurich",https://www.usenix.org/system/files/atc21-taranov.pdf,https://github.com/spcl/naos/
2019,大数据系统,"数据分析,混合计算,容错",Tangram: Bridging Immutable and Mutable Abstractions for Distributed Data Analytics,"Yuzhen Huang, The Chinese University of Hong Kong",https://www.usenix.org/system/files/atc19-huang.pdf,https://github.com/Yuzhen11/tangram/
2021,机器学习系统,"ML训练,SysforAI,DNN",Fine-tuning giant neural networks on commodity hardware with automatic pipeline model parallelism,"Saar Eliad, Department of Computer Science",https://www.usenix.org/system/files/atc21-eliad.pdf,https://github.com/saareliad/FTPipe
2021,机器学习系统,"ML推理,SysforAI,Serverless",INFaaS: Automated Model-less Inference Serving,"Francisco Romero, Stanford University",https://www.usenix.org/system/files/atc21-romero.pdf,https://github.com/stanford-mast/INFaaS
2021,机器学习系统,"ML训练,SysforAI,训练时间预测",Habitat: A Runtime-Based Computational Performance Predictor for Deep Neural Network Training,"Geoffrey X. Yu, University of Toronto Vector Institute",https://www.usenix.org/system/files/atc21-yu.pdf,https://github.com/geoffxy/habitat
2020,机器学习系统,"GPU,异构应用",Offload Annotations: Bringing Heterogeneous Computing to Existing Libraries and Workloads,"Gina Yuan, Stanford University",https://www.usenix.org/system/files/atc20-yuan.pdf,https://github.com/stanford-futuredata/offload-annotations
