年份,领域大类,关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2021,并行与分布式系统,"数据分析,图计算,性能调优",GAIA: A System for Interactive Analysis on Distributed Graphs Using a High-Level Language,"Zhengping Qian, Alibaba Group; et al.",https://www.usenix.org/conference/nsdi21/presentation/qian-zhengping,https://github.com/alibaba/GraphScope/tree/main/research/gaia
2019,并行与分布式系统,"网络系统,可编程网络,故障诊断",Blink: Fast Connectivity Recovery Entirely in the Data Plane,"Thomas Holterbach, ETH Zurich; et al.",https://www.usenix.org/conference/nsdi19/presentation/holterbach,https://github.com/nsg-ethz/Blink
2021,并行与分布式系统,"内存管理,容错,性能调优",Ownership: A Distributed Futures System for Fine-Grained Tasks,"Stephanie Wang, UC Berkeley and Anyscale; et al.",https://www.usenix.org/conference/nsdi21/presentation/cheng,https://github.com/stephanie-wang/ownership-nsdi2021-artifact
2021,并行与分布式系统,"云计算,RPC,KV",Ship Compute or Ship Data? Why Not Both,"Jie You, University of Michigan; et al.",https://www.usenix.org/conference/nsdi21/presentation/you,https://github.com/SymbioticLab/Kayak
2020,并行与分布式系统,"调度策略,数据中心网络,execution engine",Sol: Fast Distributed Computation Over Slow Networks,"Fan Lai, University of Michigan; et al.",https://www.usenix.org/conference/nsdi20/presentation/lai,https://github.com/SymbioticLab/Sol
2019,并行与分布式系统,"区块链,分布式共识协议,负载均衡",Monoxide: Scale out Blockchains with Asynchronous Consensus Zones,"Jiaping Wang, ICT/CAS, Sinovation Ventures; et al.",https://www.usenix.org/conference/nsdi19/presentation/wang-jiaping,https://monoxide.io 
2019,操作系统,"网络系统,虚拟化,性能调优",Slim: OS Kernel Support for a Low-Overhead Container Overlay Network,"Danyang Zhuo, University of Washington; et al.",https://www.usenix.org/presentation/zhuo,https://github.com/danyangz/slim
2020,操作系统,"软件定义,软硬件协同,FPGA",NetTLP: A Development Platform for PCIe devices in Software Interacting with Hardware,"Yohei Kuga, The University of Tokyo; et al.",https://www.usenix.org/conference/nsdi20/presentation/kuga,https://github.com/nettlp
2019,操作系统,"调度策略,低时延,数据中心网络",Shenango: Achieving High CPU Efficiency for Latency-sensitive Datacenter Workloads,"Amy Ousterhout, MIT CSAIL; et al.",https://www.usenix.org/conference/nsdi19/presentation/ousterhout,https://github.com/shenango
2019,操作系统,"调度策略,低时延,数据中心网络",Shinjuku: Preemptive Scheduling for μsecond-scale Tail Latency,"Kostis Kaffes, Stanford University; et al.",https://www.usenix.org/conference/nsdi19/presentation/kaffes,https://github.com/stanford-mast/shinjuku
2021,机器学习系统,"SysforAI,ML训练,ML优化,programmable switch",ATP: In-network Aggregation for Multi-tenant Learning,"ChonLam Lao, Tsinghua University; et al.",https://www.usenix.org/conference/nsdi21/presentation/lao,https://github.com/in-ATP/ATP
2019,机器学习系统,"SysforAI,SSD,ML训练,Flash",BLAS-on-flash: An Efficient Alternative for Large Scale ML Training and Inference,"Suhas Jayaram Subramanya, Microsoft Research India; et al.",https://www.usenix.org/conference/nsdi19/presentation/subramanya,https://github.com/Microsoft/BLAS-on-flash
