年份,领域大类,关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2022,软件测试,"故障诊断,silent semantic failures ",Demystifying and Checking Silent Semantic Violations in Large Distributed Systems,"Chang Lou,Johns Hopkins University;et al.",https://www.usenix.org/conference/osdi22/presentation/lou-demystifying,https://github.com/OrderLab/OathKeeper
2022,软件测试,"故障诊断,Controllers,cluster state",Automatic Reliability Testing For Cluster Management Controllers,"Xudong Sun,UIUCl; et al.",https://www.usenix.org/conference/osdi22/presentation/sun,https:// github.com/sieve-project/sieve
2022,数据库系统,"NVRAM,内存数据库,数据库索引",ListDB: Union of Write-Ahead Logs and Persistent SkipLists for Incremental Checkpointing on Persistent Memory,"Wonbae Kim, UNIST; et al.",https://www.usenix.org/conference/osdi22/presentation/kim,http://github.com/DICL/listdb
2022,文件和存储系统,"NVRAM,多核,NUMA",ODINFS: Scaling PM Performance with Opportunistic Delegation,"Diyu Zhou, EPFL; et al.",https://www.usenix.org/conference/osdi22/presentation/zhou-diyu,https://github.com/rs3lab/Odinfs
2022,机器学习系统,"DNN,机器学习编译器,ML优化",SparTA: Deep-Learning Model Sparsity via Tensor-with-Sparsity-Attribute,"Ningxin Zheng, Microsoft Research; et al.",https://www.usenix.org/conference/osdi22/presentation/zheng-ningxin,https://github.com/microsoft/SparTA
2022,,,Unity: Accelerating DNN Training Through Joint Optimization of Algebraic Transformations and Parallelization,"Di Gao, Tsinghua University; et al.",https://www.usenix.org/conference/osdi22/presentation/gao,https://trinityemulator.github.io/
2022,数据中心系统,"Serverless,时延优化,配置优化","ORION and the Three Rights: Sizing, Bundling, and Prewarming for Serverless DAGs","Ashraf Mahgoub, Purdue University; et al.",https://www.usenix.org/system/files/osdi22-mahgoub.pdf,https://github.com/icanforce/Orion-OSDI22
2022,软件测试,"故障诊断,SQL优化",Debugging the OmniTable Way,"Andrew Quinn, UC Santa Cruz; et al.",https://www.usenix.org/conference/osdi22/presentation/quinn,https://github.com/arquinn/SteamDrill
2022,文件和存储系统,"eBPF,性能调优,时延优化",XRP: In-Kernel Storage Functions with eBPF,"Yuhong Zhong, Columbia University; et al.",https://www.usenix.org/conference/osdi22/presentation/zhong,https://github.com/xrp-project/XRP
2022,文件和存储系统,"缓存优化,SSD,虚拟内存",TriCache: A User-Transparent Block Cache Enabling High-Performance Out-of-Core Processing with In-Memory Programs,"Guanyu Feng, Tsinghua University; et al.",https://www.usenix.org/conference/osdi22/presentation/feng,https://github.com/thu-pacman/TriCache
2022,形式化验证,"交互式证明,虚拟化,可信硬件",Design and Verification of the Arm Confidential Compute Architecture,"Xupeng Li, Columbia University; et al.",https://www.usenix.org/conference/osdi22/presentation/li,https://github.com/columbia/VIA
2022,形式化验证,"分布式协议,分布式共识协议","DuoAI: Fast, Automated Inference of Inductive Invariants for Verifying Distributed Protocols","Jianan Yao, Columbia University;et al.",https://www.usenix.org/conference/osdi22/presentation/yao,https://github.com/VeriGu/Duo
2022,形式化验证,"符号执行,可信硬件",Verifying Hardware Security Modules with Information-Preserving Refinement,"Anish Athalye, MIT; et al.",https://www.usenix.org/conference/osdi22/presentation/athalye,https://github.com/anishathalye/knox
2022,机器学习系统,"ML推理,机器学习,GPU,DNN,神经网络,SysforAI",Microsecond-scale Preemption for Concurrent GPU-accelerated DNN Inferences,"Mingcong Han, Shanghai Jiao Tong University; et al.",https://www.usenix.org/conference/osdi22/presentation/han,https://github.com/SJTU-IPADS/reef-artifacts
2022,机器学习系统,"DNN,机器学习编译器,SysforAI,ML训练",Alpa: Automating Inter- and Intra-Operator Parallelism for Distributed Deep Learning,"Lianmin Zheng, UC Berkeley; et al.",https://www.usenix.org/conference/osdi22/presentation/zheng-lianmin,https://github.com/alpa-projects/alpa
2022,机器学习系统,"DNN,SysforAI,机器学习,云计算",Looking Beyond GPUs for DNN Scheduling on Multi-Tenant Clusters,"Jayashree Mohan, Microsoft Research; et al.",https://www.usenix.org/conference/osdi22/presentation/mohan,https://github.com/msr-fiddle/synergy
2022,系统安全与隐私,"可信硬件,内存安全",CAP-VMs: Capability-Based Isolation and Sharing in the Cloud,"Vasily A. Sartakov and Lluís Vilanova, Imperial College London； et al.",https://www.usenix.org/conference/osdi22/presentation/sartakov,https://github.com/CTSRD-CHERI
2022,操作系统,"程序分析,静态分析",KSplit: Automating Device Driver Isolation,"Yongzhe Huang, Pennsylvania State University; et al.",https://www.usenix.org/conference/osdi22/presentation/huang-yongzhe,https://github.com/ksplit/ksplit-artifacts
2022,操作系统,"地址映射,内存安全,异常检测",Operating System Support for Safe and Efficient Auxiliary Execution,"Yuzhuo Jing, Johns Hopkins University; et al.",https://www.usenix.org/conference/osdi22/presentation/jing,https://github.com/OrderLab/orbit
2022,操作系统,"eBPF,锁,多核",Application-Informed Kernel Synchronization Primitives,"Sujin Park, Georgia Tech; et al.",https://www.usenix.org/conference/osdi22/presentation/park,https://github.com/rs3lab/SynCord
2022,系统安全与隐私,"SQL优化,数据管理,Web",Blockaid: Data Access Policy Enforcement for Web Applications,"Wen Zhang, UC Berkeley; et al.",https://www.usenix.org/system/files/osdi22-zhang.pdf,https://github.com/blockaid-project
2022,系统安全与隐私,"ORAM,分布式协议,容错","SHORTSTACK: Distributed, Fault-tolerant, Oblivious Data Access","Midhul Vuppalapati, Cornell University; et al.",https://www.usenix.org/conference/osdi22/presentation/vuppalapati,https://github.com/pancake-security/shortstack
2022,程序语言与编译器,"程序分析,在线分析,静态分析",UPGRADVISOR: Early Adopting Dependency Updates Using Hybrid Program Analysis and Hardware Tracing,"Yanic David, Columbia University; et al.",https://www.usenix.org/system/files/osdi22-david.pdf,http://upgradvisor.github.io
2022,程序语言与编译器,"Shell,编译优化,性能调优","Practically Correct, Just-in-Time Shell Script Parallelization","Konstantinos Kallas, University of Pennsylvania; et al.",https://www.usenix.org/conference/osdi22/presentation/kallas,https://github.com/binpash/pash/tree/osdi22-ae/evaluation/osdi22-eval
2022,程序语言与编译器,"程序分析,Web,语言运行时",Jawa: Web Archival in the Era of JavaScript,"Ayush Goel, University of Michigan; et al.",https://www.usenix.org/conference/osdi22/presentation/goel,https://github.com/goelayu/Jawa
2022,机器学习系统,"图计算,GPU",Efficient and Scalable Graph Pattern Mining on GPUs,"Xuhao Chen and Arvind,MIT CSAIL",https://www.usenix.org/conference/osdi22/presentation/chen,https://github.com/chenxuhao/GraphMiner
2021,机器学习系统,,GNNAdvisor: An Adaptive and Efficient Runtime System for GNN Acceleration on GPUs,"Yuke Wang, University of California, Santa Barbara; et al.",https://www.usenix.org/conference/osdi21/presentation/wang-yuke,https://github.com/YukeWang96/OSDI21_AE.git
2021,机器学习系统,,Oort: Efficient Federated Learning via Guided Participant Selection,"Fan Lai, University of Michigan; et al.",https://www.usenix.org/conference/osdi21/presentation/lai,https://github.com/SymbioticLab/Kuiper
2021,机器学习系统,,PET: Optimizing Tensor Programs with Partially Equivalent Transformations and Automated Corrections,"Haojie Wang, Tsinghua University; et al.",https://www.usenix.org/conference/osdi21/presentation/wang,https://github.com/whjthu/pet-osdi21-ae
