年份,领域大类,关键词（最多3个）,论文标题,作者,论文链接,项目链接
2021,文件和存储系统,,Approaching DRAM performance by using microsecond-latency flash memory for small-sized random read accesses: a new access method and its graph applications,"Tomoya Suzuki, Kioxia Corporation; et al.",http://vldb.org/pvldb/vol14/p1311-suzuki.pdf,
2021,数据库系统,,Optimizing In-memory Database Engine For AI-powered On-line Decision Augmentation Using Persistent Memory,"Cheng Chen, 4Paradigm Inc.; et al.",http://vldb.org/pvldb/vol14/p799-chen.pdf,
2021,数据库系统,,Zen: a High-Throughput Log-Free OLTP Engine for Non-Volatile Main Memory,"Gang Liu, Chinese Academy of Sciences; et al.",http://vldb.org/pvldb/vol14/p835-liu.pdf,
2021,数据库系统,,Revisiting the Design of LSM-tree Based OLTP Storage Engine with Persistent Memory,"Baoyue Yan, Beihang University; et al.",http://vldb.org/pvldb/vol14/p1872-yan.pdf,
2021,文件和存储系统,,SaS: SSD as SQL Database System,"Jong-Hyeok Park, Sungkyunkwan University; et al.",http://vldb.org/pvldb/vol14/p1481-lee.pdf,
2021,机器学习系统,,Comprehensive and Efficient Workload Compression,"Shaleen Deep, University of Wisconsin-Madison; et al.",http://vldb.org/pvldb/vol14/p418-deep.pdf,
2021,机器学习系统,,"On the Efficiency of K-Means Clustering: Evaluation, Optimization, and Algorithm Selection","Sheng Wang, New York University; et al.",http://vldb.org/pvldb/vol14/p163-wang.pdf,https://github.com/tgbnhy/fast-kmeans
2021,机器学习系统,,Comprehensible Counterfactual Explanation on Kolmogorov-Smirnov Test,"Zicun Cong, Simon Fraser University; et al.",http://vldb.org/pvldb/vol14/p1583-cong.pdf,https://github.com/research0610/MOCHE
2021,机器学习系统,,GeCo: Quality Counterfactual Explanations in Real Time,"Maximilian Schleich, University of Washington; et al.",http://vldb.org/pvldb/vol14/p1681-schleich.pdf,https://github.com/mjschleich/GeCo.jl
2021,机器学习系统,,A Queueing-Theoretic Framework for Vehicle Dispatching in Dynamic Car-Hailing,"Peng Cheng, East China Normal University; et al.",http://vldb.org/pvldb/vol14/p2177-cheng.pdf,https://github.com/inabao/queue-based-order-dispatching
2021,大数据系统,,On the algebra of data sketches,"Jakub Lemiesz, Wrocław University of Science and Technology; et al.",http://vldb.org/pvldb/vol14/p1655-lemiesz.pdf,
2021,大数据系统,,SetSketch: Filling the Gap between MinHash and HyperLogLog,"Otmar Ertl, Dynatrace Research; et al.",http://vldb.org/pvldb/vol14/p2244-ertl.pdf,https://github.com/dynatrace-research/set-sketch-paper
2021,大数据系统,,SKT: A One-Pass Multi-Sketch Data Analytics Accelerator,"Monica Chiosa, ETH Zurich; et al.",http://vldb.org/pvldb/vol14/p2369-chiosa.pdf,
2021,大数据系统,,KLL±: Approximate Quantile Sketches over Dynamic Datasets,"Fuheng Zhao, UCSB; et al.",http://vldb.org/pvldb/vol14/p1215-zhao.pdf,
2021,大数据系统,,On-Off Sketch: A Fast and Accurate Sketch on Persistence,"Yinda Zhang, Peking University; et al.",http://vldb.org/pvldb/vol14/p128-zhang.pdf,
2021,机器学习系统,,RPT: Relational Pre-trained Transformer Is Almost All You Need towards Democratizing Data Preparation,"Nan Tang, Qatar Computing Research Institute HBKU; et al.",http://vldb.org/pvldb/vol14/p1254-tang.pdf,
2021,机器学习系统,,LOCATER: Cleaning WiFi Connectivity Datasets for Semantic Localization,"Yiming Lin, University of California Irvine; et al.",http://vldb.org/pvldb/vol14/p329-lin.pdf,https://github.com/yiminl18/LOCATER
